plant_species,date,plant_age_days,temperature,humidity,soil_moisture,soil_ph,light_intensity,height_cm,leaf_area_cm2,health_score
Arive-Dantu,2023-01-01,10,24.35443128573058,52.994030419065666,36.63285935607874,7.0468093885314795,15589.751987489726,9.361921541728709,26.53227278911834,0.7388610168613465
Arive-Dantu,2023-01-02,10,23.921513455034017,53.483883037896064,37.028936160919265,6.9608707838789945,15683.670310348465,9.371921541728709,30.66901897968529,0.706514114026738
Arive-Dantu,2023-01-03,16,23.548989507612934,52.61611753141115,38.361623353179475,7.015170636437115,15798.653790395736,9.381921541728708,33.18269014405583,0.668550501460917
Arive-Dantu,2023-01-04,20,23.818069421267396,52.24700463039721,39.367778656800425,7.057316192630823,16366.64223680002,9.391921541728708,28.648228848171048,0.6410776977740106
Arive-Dantu,2023-01-05,16,23.891464854061002,54.646366576241,38.63377746929095,7.0124121232334575,16514.01204481937,9.401921541728708,29.153371353534784,0.6052800628732122
Arive-Dantu,2023-01-06,11,24.220363743195072,53.90520332750865,39.4260266090392,7.062644529644473,16737.863561283062,9.411921541728708,33.95175866794756,0.5901679585642545
Arive-Dantu,2023-01-07,18,23.616031182816865,52.693380216465386,39.62401674837007,7.026344023687605,16909.90350441652,9.421921541728707,29.080607085422137,0.5592911523572719
Arive-Dantu,2023-01-08,20,23.317787444290452,51.97680923579748,38.890675306517636,7.089083951803464,17012.074909161754,9.431921541728707,33.20314024961501,0.5304447687845001
Arive-Dantu,2023-01-09,24,23.203578950447024,50.739082977471945,38.2681504387771,7.139498896032381,17002.21872910004,9.441921541728707,29.24278567106501,0.47744083040589647
Arive-Dantu,2023-01-10,24,22.775910765040162,49.04012593208485,36.91044827368725,7.083392764743553,17266.761795527396,9.451921541728707,33.44726676678556,0.45752027869056844
Arive-Dantu,2023-01-11,28,22.96478495779656,49.17148945295617,36.82014578140193,7.055594831312438,17365.78464993249,9.461921541728707,34.9286659831159,0.41031705689828524
Arive-Dantu,2023-01-12,25,22.57761502415664,47.455348039680004,36.969573291231036,7.124440854632026,17022.959512661324,9.471921541728706,28.889123726982557,0.3698878542893188
Arive-Dantu,2023-01-13,29,22.13873306920807,46.217474690249105,36.161058111177184,7.120763557021807,17031.229590069128,9.481921541728706,33.26281322343736,0.31981021805236065
Arive-Dantu,2023-01-14,25,22.644773405442542,46.112081230096614,35.265656774138655,7.120021866319671,16525.093173608737,9.491921541728706,35.35168653102907,0.2731930485375833
Arive-Dantu,2023-01-15,26,21.853035854106913,46.21886859772083,34.453873817792804,7.105063014308224,17379.84288064649,9.501921541728706,27.208465202834706,0.2281284576110503
Arive-Dantu,2023-01-16,30,21.69955669065521,45.68342261477282,34.824440309861224,6.995744144758192,17346.925564364534,9.511921541728706,28.072210366587694,0.17416978480388992
Arive-Dantu,2023-01-17,33,21.684919111379152,47.75344363929935,33.594436527955146,6.954834838067267,17340.36783261655,9.521921541728705,30.795948354487795,0.1363281339793896
Arive-Dantu,2023-01-18,27,21.229143140760826,48.90647072754951,33.74043350299037,7.007448842863811,17912.456011045422,9.531921541728705,30.951965924554514,0.1
Arive-Dantu,2023-01-19,25,21.317066257069932,51.41385985983268,34.25954097473854,6.923166913893977,17691.758941355612,9.541921541728705,34.00199050577651,0.1
Arive-Dantu,2023-01-20,24,21.087335125772466,51.89044173308582,35.57476118194052,6.95004458721011,18279.80596131744,9.551921541728705,33.159802305818175,0.1
Arive-Dantu,2023-01-21,27,21.104212948433908,50.52178650247381,36.44229519253514,7.0374980165310586,18431.317839820975,9.561921541728704,27.61919194889989,0.1
Arive-Dantu,2023-01-22,30,21.066157394578028,49.42531599074748,35.64990912252451,7.009905901860194,17851.62672309988,9.571921541728704,32.06299766757728,0.1
Arive-Dantu,2023-01-23,28,21.15663257107319,50.245679957947544,35.80343769319018,6.993354051290868,17441.023330935353,9.581921541728704,30.564200268485532,0.1
Arive-Dantu,2023-01-24,30,21.059471390529197,50.716244092762324,35.51522252771869,7.013684252203243,17771.452081572595,9.591921541728704,34.94088804200992,0.1
Arive-Dantu,2023-01-25,35,21.182311819245264,48.56684414919947,36.16375532062889,7.026862902003791,17960.040793061515,9.601921541728704,28.49613054722245,0.1
Arive-Dantu,2023-01-26,43,20.539102305152113,48.42734314998627,36.388284204554004,7.057593507751684,18020.618914781335,9.611921541728703,31.940027898791513,0.1
Arive-Dantu,2023-01-27,34,20.51652839668274,47.36616954364701,36.51019667864808,7.095460069234541,18571.611257857363,9.621921541728703,32.10827746746208,0.1
Arive-Dantu,2023-01-28,44,20.0,47.930666966630746,36.6460420135616,7.072181332725004,17683.123044299486,9.631921541728703,29.97808064121799,0.1
Arive-Dantu,2023-01-29,44,20.316698100182794,49.65879751142158,36.6006551506842,7.083155245672353,18076.98584264455,9.641921541728703,33.92057366445059,0.1
Arive-Dantu,2023-01-30,36,20.01051158695921,49.44593323773681,37.047972496829885,7.07989911332646,18807.752317998664,9.651921541728703,32.41484012040137,0.1
Arive-Dantu,2023-01-31,48,20.0,50.18250282562313,37.792553099885474,7.142883634376822,19670.5273561466,9.661921541728702,34.53024990821469,0.1
Arive-Dantu,2023-02-01,40,20.035378989050503,52.516877299152384,36.77011975534122,7.1451523515198625,20618.558142576094,9.671921541728702,35.94912323435267,0.1
Arive-Dantu,2023-02-02,43,20.0,53.497877286203796,37.43740829436034,7.216459153063141,21222.45313336257,9.681921541728702,31.29102339198443,0.1
Arive-Dantu,2023-02-03,44,20.244547782497037,54.67339403184652,36.40766153965803,7.224391263930927,21473.533186476503,9.691921541728702,34.770590983010706,0.1
Arive-Dantu,2023-02-04,52,20.829215326910322,55.206737030145014,36.04128388139867,7.175227248294761,21535.19781849647,9.701921541728701,29.66633492054442,0.1
Arive-Dantu,2023-02-05,44,21.40150297464316,56.39260809877527,36.540357709252085,7.149484733370532,21813.50720496127,9.711921541728701,28.10345538564247,0.1
Arive-Dantu,2023-02-06,52,21.365328072726196,57.194672077335696,39.127914623023834,7.122000581208384,21977.163827945304,9.721921541728701,36.11290144711448,0.1
Arive-Dantu,2023-02-07,42,20.599400860857063,56.23759875316475,39.5197967544574,7.140061908140462,21675.954812491313,9.7319215417287,32.450796947046385,0.1
Arive-Dantu,2023-02-08,50,20.08242931251328,56.19550262004057,39.3022834484068,7.1758428902405,22041.136434212436,9.7419215417287,35.537675806334974,0.1
Arive-Dantu,2023-02-09,52,20.0,56.30432635263884,39.720095449976164,7.18935502203271,22494.205035887277,9.7519215417287,32.54749967719076,0.1
Arive-Dantu,2023-02-10,48,20.0,57.54236212336083,38.79167159843169,7.2243986903928965,23028.951110566897,9.7619215417287,34.58771107549702,0.1
Arive-Dantu,2023-02-11,53,20.21006188585312,56.76378805431594,41.00392653413383,7.18385379449272,23536.456817657585,9.7719215417287,29.143455122453567,0.1
Arive-Dantu,2023-02-12,55,20.65918405574165,55.97329749857382,42.03282662842151,7.235259668476478,24365.50105808252,9.7819215417287,33.14336668184492,0.1
Arive-Dantu,2023-02-13,59,20.633813992397652,56.967804031290434,41.28240038297605,7.207183582554353,24452.64019936903,9.7919215417287,36.3879867055666,0.1
Arive-Dantu,2023-02-14,56,21.103665352578147,53.58782570790526,40.79440988147635,7.235684119380673,25573.246089457985,9.8019215417287,28.98475224445394,0.1
Arive-Dantu,2023-02-15,58,20.8427318297598,52.60854732237597,42.052713141561114,7.279123053013698,25641.167079683884,9.8119215417287,29.851601555856842,0.1
Arive-Dantu,2023-02-16,60,20.305333824914918,52.15193111634536,40.16941727549086,7.325556471057351,25960.992430579157,9.821921541728699,32.88831632915145,0.1
Arive-Dantu,2023-02-17,55,20.324464099536108,50.903714474566605,40.661854103691994,7.288383568238382,26000.0,9.831921541728699,31.1871971809877,0.1
Arive-Dantu,2023-02-18,54,20.64201743314129,51.204203345046366,41.18609812661275,7.263049954490049,26000.0,9.841921541728698,33.54470866914257,0.1
Arive-Dantu,2023-02-19,61,20.711764939322368,48.95060026105277,41.67054348290849,7.278312501731057,25258.935318008767,9.851921541728698,30.960186746558247,0.1
Arive-Dantu,2023-02-20,66,20.717996204575527,49.41915742871396,42.49181880519318,7.271703520730648,24528.322445962054,9.861921541728698,32.1170285172157,0.1
Arive-Dantu,2023-02-21,70,22.107265422537512,48.49824108682978,43.73287515651757,7.2389782837874606,25192.372947401545,9.871921541728698,33.03086945359092,0.1
